+--------+-----------------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                                    |
+--------+-----------------------------------------------------------------------------------------------------+
| Total  | 0.0 +- 0.0 (0%)                   | chi2=1.0|mwi=1.0|n=0.0M(1e+02%)|n0=0.0M(0.0e+00%)               |
| Sum    | 0.0 +- 0.0 (0%)                                                                                     |
| GL150  | -4.15709e-09 +- 5.84e-09 (1.4e+02%) | chi2=1.02|mwi=0.4|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%         |
| GL154  | +3.80228e-06 +- 5.75e-09 (0.15%)  | chi2=1.03|mwi=0.235|n=12.2M(0.044%)|n0=0.0M(5.7e-05%)|p=0.04%   |
| GL114  | +7.85808e-07 +- 4.66e-09 (0.59%)  | chi2=1.16|mwi=0.774|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%         |
| GL416  | +8.8105e-07  +- 4.57e-09 (0.52%)  | chi2=1.21|mwi=1.8|n=12.2M(0.044%)|n0=0.0M(0.00028%)|p=0.04%     |
| GL282  | +8.5297e-07  +- 4.47e-09 (0.52%)  | chi2=1.01|mwi=22.4|n=12.2M(0.044%)|n0=0.0M(0.0002%)|p=0.04%     |
| GL450  | -1.14547e-06 +- 4.39e-09 (0.38%)  | chi2=1.15|mwi=3.2|n=12.2M(0.044%)|n0=0.0M(8.2e-06%)|p=0.04%     |
| GL298  | +3.81801e-07 +- 4.06e-09 (1.1%)   | chi2=1|mwi=16.7|n=12.2M(0.044%)|n0=0.0M(8.2e-05%)|p=0.04%       |
| GL9    | +3.53095e-07 +- 3.74e-09 (1.1%)   | chi2=0.922|mwi=22.6|n=12.2M(0.044%)|n0=0.0M(0.00011%)|p=0.04%   |
| GL296  | -1.27965e-07 +- 3.49e-09 (2.7%)   | chi2=0.872|mwi=2.89|n=12.2M(0.044%)|n0=0.0M(2.5e-05%)|p=0.04%   |
| GL116  | -6.54466e-07 +- 2.58e-09 (0.39%)  | chi2=1.1|mwi=4.46|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%           |
| GL426  | -2.26586e-08 +- 2.53e-09 (11%)    | chi2=1.13|mwi=0.98|n=12.2M(0.044%)|n0=0.0M(8.2e-06%)|p=0.04%    |
| GL294  | +7.96467e-07 +- 2.36e-09 (0.3%)   | chi2=1.04|mwi=0.971|n=12.2M(0.044%)|n0=0.0M(9e-05%)|p=0.04%     |
| GL278  | +3.05599e-06 +- 2.29e-09 (0.075%) | chi2=1.07|mwi=3.13|n=12.2M(0.044%)|n0=0.0M(0.00011%)|p=0.04%    |
