+--------+-----------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                              |
+--------+-----------------------------------------------------------------------------------------------+
| GL386  | -6.50503e-06 +- 4.2e-07  (6.5%)   | chi2=0|mwi=0.555|n=7.5M(0.75%)|n0=0.0M(8e-05%)|p=0.75%    |
| GL288  | +1.84467e-06 +- 3.91e-07 (21%)    | chi2=0|mwi=0.355|n=7.5M(0.75%)|n0=0.0M(0.0015%)|p=0.75%   |
| GL294  | +7.24142e-07 +- 3.55e-07 (49%)    | chi2=0|mwi=0.745|n=7.5M(0.75%)|n0=0.0M(0.0016%)|p=0.75%   |
| GL238  | +2.43292e-06 +- 3.42e-07 (14%)    | chi2=0|mwi=0.441|n=7.5M(0.75%)|n0=0.1M(0.69%)|p=0.75%     |
| GL120  | +2.2773e-07  +- 3.2e-07  (1.4e+02%) | chi2=0|mwi=0.54|n=7.5M(0.75%)|n0=0.0M(1.3e-05%)|p=0.75% |
| GL418  | -8.5313e-07  +- 3.08e-07 (36%)    | chi2=0|mwi=0.776|n=7.5M(0.75%)|n0=0.0M(0.00024%)|p=0.75%  |
| GL404  | +8.50687e-06 +- 2.93e-07 (3.4%)   | chi2=0|mwi=0.483|n=7.5M(0.75%)|n0=0.1M(0.68%)|p=0.75%     |
| GL224  | +2.3389e-07  +- 2.77e-07 (1.2e+02%) | chi2=0|mwi=0.581|n=7.5M(0.75%)|n0=0.1M(0.68%)|p=0.75%   |
| GL138  | +1.67364e-06 +- 2.63e-07 (16%)    | chi2=0|mwi=0.853|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%     |
| GL244  | -8.29155e-07 +- 2.6e-07  (31%)    | chi2=0|mwi=0.666|n=7.5M(0.75%)|n0=0.0M(0.0013%)|p=0.75%   |
| GL0    | -6.57082e-06 +- 2.59e-07 (3.9%)   | chi2=0|mwi=0.489|n=7.5M(0.75%)|n0=0.0M(0.0013%)|p=0.75%   |
| GL116  | -6.65955e-07 +- 1.86e-07 (28%)    | chi2=0|mwi=0.585|n=7.5M(0.75%)|n0=0.0M(0.42%)|p=0.75%     |
| GL256  | -2.71418e-06 +- 1.75e-07 (6.4%)   | chi2=0|mwi=0.606|n=7.5M(0.75%)|n0=0.0M(0.0011%)|p=0.75%   |
| GL278  | +3.04741e-06 +- 1.56e-07 (5.1%)   | chi2=0|mwi=0.566|n=7.5M(0.75%)|n0=0.0M(0.0015%)|p=0.75%   |
| GL112  | -2.69128e-06 +- 1.51e-07 (5.6%)   | chi2=0|mwi=0.581|n=7.5M(0.75%)|n0=0.0M(0%)|p=0.75%        |
| GL154  | +3.78874e-06 +- 1.46e-07 (3.8%)   | chi2=0|mwi=0.584|n=7.5M(0.75%)|n0=0.0M(0.0012%)|p=0.75%   |
| GL416  | +1.09894e-06 +- 1.34e-07 (12%)    | chi2=0|mwi=0.903|n=7.5M(0.75%)|n0=0.0M(0.00033%)|p=0.75%  |
