madgraph.havana 2025-05-03,06:25:22.223706 Now running iteration #4
| Status of 500 workers: 0 pending, 0 available, 500 running. A total of 0 jobs are pending.
| Jobs completed: overall = 6793 (avg 64.3 min/job), and for this iteration = 793/1318/2000 on 500 cpus.
| Total n_pts: 339.6M ( 85.5 ms / pt on one core,  5.8K pts / s overall ). n_pts for this iteration #4: 39.65M/100.00M (39.6%).
| Wall time: 16.142 h, IO: 0.01%, processing: 0.00%, jobs: 7276.793 CPU-hours, efficiency: 90.16%

Run description: nnlo_all_singlets_1_sqrts_346_05 (run id: 1)
Result after 339.6M evaluations and 3 iterations: -1.8484 +/- 0.02265   (1.2%), chi2=1.88, max_wgt_infl=92.8, zero_evals=7.8%
  -> Re[I0(mu_r_x_1)] = -1.8484 +/- 0.022653 (1.2%), chi2=5.63, max_wgt_infl=92.8, zero_evals=7.8%
     Im[I0(mu_r_x_1)] = -2.1351e-40 +/- 2.1351e-40 (1e+02%), chi2=2, max_wgt_infl=1.95e+31, zero_evals=100%
+--------+------------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                               |
+--------+------------------------------------------------------------------------------------------------+
| Total  | -1.8484      +- 0.0227   (1.2%)   | chi2=1.88|mwi=92.8|n=339.6M(1e+02%)|n0=26.5M(7.8%)         |
| Sum    | -1.86996     +- 0.0212   (1.1%)                                                                |
| GL386  | +0.000277595 +- 2.87e-06 (1%)     | chi2=0.51|mwi=1.25|n=0.9M(0.27%)|n0=0.0M(0.27%)|p=0.07%    |
| GL100  | -0.00010545  +- 2.65e-06 (2.5%)   | chi2=0.856|mwi=0.518|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%    |
| GL156  | -0.000370337 +- 2.62e-06 (0.71%)  | chi2=0.471|mwi=0.447|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%    |
| GL374  | -0.000117247 +- 2.3e-06  (2%)     | chi2=1.1|mwi=0.375|n=0.9M(0.27%)|n0=0.0M(1.9%)|p=0.07%     |
| GL298  | +6.73292e-05 +- 2.1e-06  (3.1%)   | chi2=0.472|mwi=3.67|n=0.9M(0.27%)|n0=0.1M(13%)|p=0.07%     |
| GL428  | -9.00998e-06 +- 2.01e-06 (22%)    | chi2=1.82|mwi=1.03|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%      |
| GL430  | -1.64412e-06 +- 1.94e-06 (1.2e+02%) | chi2=1.31|mwi=0.728|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%   |
| GL200  | +0.000108893 +- 1.91e-06 (1.8%)   | chi2=0.648|mwi=0.439|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%    |
| GL452  | -1.33005e-05 +- 1.9e-06  (14%)    | chi2=0.519|mwi=0.657|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%    |
| GL158  | +0.000241734 +- 1.89e-06 (0.78%)  | chi2=0.332|mwi=0.586|n=0.9M(0.27%)|n0=0.1M(13%)|p=0.07%    |
